file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,5
style.css,2,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,24
style.css,3,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,0
style.css,4,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,0
style.css,5,css,f703df5b,Sophia Vo,2025-04-04,22:12:15,-07:00,2025-04-04T22:12:15-07:00,0,5
style.css,6,css,f703df5b,Sophia Vo,2025-04-04,22:12:15,-07:00,2025-04-04T22:12:15-07:00,0,44
style.css,7,css,f703df5b,Sophia Vo,2025-04-04,22:12:15,-07:00,2025-04-04T22:12:15-07:00,0,43
style.css,8,css,f703df5b,Sophia Vo,2025-04-04,22:12:15,-07:00,2025-04-04T22:12:15-07:00,0,1
style.css,9,css,f703df5b,Sophia Vo,2025-04-04,22:12:15,-07:00,2025-04-04T22:12:15-07:00,0,24
style.css,10,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,16
style.css,11,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,43
style.css,12,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,19
style.css,13,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,0
style.css,14,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,0
style.css,15,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,15
style.css,16,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,17
style.css,17,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,0
style.css,18,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,0
style.css,19,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,0
style.css,20,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,4
style.css,21,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,40
style.css,22,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,0
style.css,23,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,13
style.css,24,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,10
style.css,25,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,20
style.css,26,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,0
style.css,27,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,44
style.css,28,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,21
style.css,29,css,c1977cbe,Sophia Vo,2025-04-18,17:41:28,-07:00,2025-04-18T17:41:28-07:00,0,18
style.css,30,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,0
style.css,31,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,0
style.css,32,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,6
style.css,33,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,7
style.css,34,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,21
style.css,35,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,14
style.css,36,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,18
style.css,37,css,dfa602fb,Sophia Vo,2025-04-11,23:10:07,-07:00,2025-04-11T23:10:07-07:00,0,14
